 First iteration    1370.6027174515568             1130   1.2129227588066875     
After minimisation    1363.79  1130     1.207

  Partial chi2s 
Dataset    1    455.54   377  HERA1+2 NCep 920                                
Dataset    2     68.14    70  HERA1+2 NCep 820                                
Dataset    3    229.66   254  HERA1+2 NCep 575                                
Dataset    4    221.84   204  HERA1+2 NCep 460                                
Dataset    5    211.13   159  HERA1+2 NCem                                    
Dataset    6     44.59    39  HERA1+2 CCep                                    
Dataset    7     47.17    42  HERA1+2 CCem                                    

 Correlated Chi2    85.719131282075168     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
  114  sysHZComb1114                          1.9112   +/-   0.8056        :N:M:D
  115  sysHZComb1115                          0.8953   +/-   0.7558        :N:M:D
  116  sysHZComb1116                          0.6571   +/-   0.7715        :N:M:D
  117  sysHZComb1117                          0.9738   +/-   0.8170        :N:M:D
  118  sysHZComb1118                         -0.1856   +/-   0.9966        :N:M:D
  119  sysHZComb1119                          0.5308   +/-   0.9747        :N:M:D
  120  sysHZComb1120                          0.5804   +/-   0.8539        :N:M:D
  121  sysHZComb1121                          0.3660   +/-   0.9899        :N:M:D
  122  sysHZComb1122                          0.1421   +/-   0.9338        :N:M:D
  123  sysHZComb1123                         -0.2449   +/-   0.9276        :N:M:D
  124  sysHZComb1124                         -1.0282   +/-   0.8628        :N:M:D
  125  sysHZComb1125                          0.7257   +/-   0.8812        :N:M:D
  126  sysHZComb1126                         -0.1339   +/-   0.9152        :N:M:D
  127  sysHZComb1127                         -0.3038   +/-   0.9230        :N:M:D
  128  sysHZComb1128                         -0.1741   +/-   0.9551        :N:M:D
  129  sysHZComb1129                          0.2488   +/-   0.8564        :N:M:D
  130  sysHZComb1130                          0.2642   +/-   0.8046        :N:M:D
  131  sysHZComb1131                         -0.6270   +/-   0.7895        :N:M:D
  132  sysHZComb1132                         -0.5459   +/-   0.7890        :N:M:D
  133  sysHZComb1133                          0.7008   +/-   0.8205        :N:M:D
