 First iteration    1432.0288861980321             1130   1.2672822001752497     
After minimisation    1361.45  1130     1.205

  Partial chi2s 
Dataset    1    457.46   377  HERA1+2 NCep 920                                
Dataset    2     68.04    70  HERA1+2 NCep 820                                
Dataset    3    229.63   254  HERA1+2 NCep 575                                
Dataset    4    222.16   204  HERA1+2 NCep 460                                
Dataset    5    205.93   159  HERA1+2 NCem                                    
Dataset    6     44.64    39  HERA1+2 CCep                                    
Dataset    7     46.74    42  HERA1+2 CCem                                    

 Correlated Chi2    86.861913598233883     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
  105  sysHZComb1105                          1.2967   +/-   0.6922        :N:M:D
  106  sysHZComb1106                         -0.4832   +/-   0.7714        :N:M:D
  107  sysHZComb1107                          0.5065   +/-   0.7408        :N:M:D
  108  sysHZComb1108                          1.3514   +/-   0.6761        :N:M:D
  109  sysHZComb1109                          0.3471   +/-   0.9898        :N:M:D
  110  sysHZComb1110                         -0.7242   +/-   0.7006        :N:M:D
  111  sysHZComb1111                         -1.6486   +/-   0.5497        :N:M:D
  112  sysHZComb1112                          0.4688   +/-   0.9904        :N:M:D
  113  sysHZComb1113                          1.2567   +/-   0.8438        :N:M:D
  114  sysHZComb1114                          1.9557   +/-   0.8053        :N:M:D
  115  sysHZComb1115                          0.9268   +/-   0.7555        :N:M:D
  116  sysHZComb1116                          0.6475   +/-   0.7712        :N:M:D
  117  sysHZComb1117                          1.0073   +/-   0.8164        :N:M:D
  118  sysHZComb1118                         -0.1864   +/-   0.9966        :N:M:D
  119  sysHZComb1119                          0.5305   +/-   0.9746        :N:M:D
  120  sysHZComb1120                          0.6137   +/-   0.8536        :N:M:D
  121  sysHZComb1121                          0.3625   +/-   0.9899        :N:M:D
  122  sysHZComb1122                          0.1060   +/-   0.9337        :N:M:D
  123  sysHZComb1123                         -0.1961   +/-   0.9275        :N:M:D
  124  sysHZComb1124                         -1.0788   +/-   0.8626        :N:M:D
  125  sysHZComb1125                          0.7676   +/-   0.8814        :N:M:D
  126  sysHZComb1126                         -0.1357   +/-   0.9150        :N:M:D
  127  sysHZComb1127                         -0.3170   +/-   0.9229        :N:M:D
  128  sysHZComb1128                         -0.1830   +/-   0.9551        :N:M:D
  129  sysHZComb1129                          0.2057   +/-   0.8563        :N:M:D
  130  sysHZComb1130                          0.2528   +/-   0.8043        :N:M:D
  131  sysHZComb1131                         -0.5966   +/-   0.7893        :N:M:D
  132  sysHZComb1132                         -0.6035   +/-   0.7887        :N:M:D
  133  sysHZComb1133                          0.7603   +/-   0.8203        :N:M:D
  134  sysHZComb1134                          0.3221   +/-   0.9786        :N:M:D
  135  sysHZComb1135                         -1.2469   +/-   0.8172        :N:M:D
  136  sysHZComb1136                          0.2455   +/-   0.8765        :N:M:D
  137  sysHZComb1137                         -0.2642   +/-   0.8834        :N:M:D
  138  sysHZComb1138                          0.4324   +/-   0.9194        :N:M:D
  139  sysHZComb1139                         -0.8043   +/-   0.9422        :N:M:D
  140  sysHZComb1140                         -0.0634   +/-   0.9575        :N:M:D
  141  sysHZComb1141                         -0.1860   +/-   0.9709        :N:M:D
  142  sysHZComb1142                          1.1388   +/-   0.8612        :N:M:D
  143  sysHZComb1143                          0.6297   +/-   0.8554        :N:M:D
  144  sysHZComb1144                          1.7205   +/-   0.8398        :N:M:D
  145  sysHZComb1145                          0.3767   +/-   0.9861        :N:M:D
  146  sysHZComb1146                          0.2636   +/-   0.9896        :N:M:D
  147  sysHZComb1147                          0.8340   +/-   0.8019        :N:M:D
  148  sysHZComb1148                         -0.4812   +/-   0.7917        :N:M:D
  149  sysHZComb1149                          0.5189   +/-   0.7693        :N:M:D
  150  sysHZComb1150                         -0.3317   +/-   0.7859        :N:M:D
  151  sysHZComb1151                          0.1810   +/-   0.9632        :N:M:D
  152  sysHZComb1152                          0.8953   +/-   0.7329        :N:M:D
  153  sysHZComb1153                         -1.4107   +/-   0.8332        :N:M:D
  154  sysHZComb1154                         -0.1562   +/-   0.8093        :N:M:D
  155  sysHZComb1155                          1.0597   +/-   0.8129        :N:M:D
  156  sysHZComb1156                          0.0886   +/-   0.9148        :N:M:D
  157  sysHZComb1157                          1.4026   +/-   0.7254        :N:M:D
  158  sysHZComb1158                          0.1311   +/-   0.7981        :N:M:D
  159  sysHZComb1159                         -0.0320   +/-   1.0000        :N:M:D
  160  sysHZComb1160                         -0.0152   +/-   0.8814        :N:M:D
  161  sysHZComb1161                          0.7817   +/-   0.8408        :N:M:D
  162  sysHZComb1162                          0.7177   +/-   0.8875        :N:M:D
  163  proc_nrl                               0.1756   +/-   0.3873        :N:M:D
  164  proc_tb21                             -2.5943   +/-   0.6689        :N:M:D
  165  proc_tb22                             -1.5083   +/-   0.3045        :N:M:D
  166  proc_tb23                             -0.3702   +/-   0.4343        :N:M:D
  167  proc_tb24                             -0.6278   +/-   0.4083        :N:M:D
  168  proc_gp                                0.0434   +/-   0.4517        :N:M:D
  169  proc_had                               0.7525   +/-   0.5357        :N:M:D
