 First iteration    1392.4273266761081             1130   1.2322365722797417     
After minimisation    1360.92  1130     1.204

  Partial chi2s 
Dataset    1    452.51   377  HERA1+2 NCep 920                                
Dataset    2     67.33    70  HERA1+2 NCep 820                                
Dataset    3    229.52   254  HERA1+2 NCep 575                                
Dataset    4    221.46   204  HERA1+2 NCep 460                                
Dataset    5    211.98   159  HERA1+2 NCem                                    
Dataset    6     46.22    39  HERA1+2 CCep                                    
Dataset    7     47.75    42  HERA1+2 CCem                                    

 Correlated Chi2    84.150284530772822     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
  156  sysHZComb1156                         -0.0578   +/-   0.9153        :N:M:D
  157  sysHZComb1157                          1.3618   +/-   0.7263        :N:M:D
  158  sysHZComb1158                          0.2223   +/-   0.7991        :N:M:D
  159  sysHZComb1159                         -0.0320   +/-   1.0000        :N:M:D
  160  sysHZComb1160                         -0.0381   +/-   0.8820        :N:M:D
  161  sysHZComb1161                          0.7989   +/-   0.8417        :N:M:D
  162  sysHZComb1162                          0.8069   +/-   0.8883        :N:M:D
  163  proc_nrl                               0.2803   +/-   0.3878        :N:M:D
  164  proc_tb21                             -2.6653   +/-   0.6696        :N:M:D
  165  proc_tb22                             -1.5084   +/-   0.3051        :N:M:D
  166  proc_tb23                             -0.2523   +/-   0.4348        :N:M:D
  167  proc_tb24                             -0.6616   +/-   0.4091        :N:M:D
  168  proc_gp                                0.1233   +/-   0.4524        :N:M:D
  169  proc_had                               0.7049   +/-   0.5365        :N:M:D
