 First iteration    1497.1658576988266             1130   1.3249255377865723     
After minimisation    1357.55  1130     1.201

  Partial chi2s 
Dataset    1    451.31   377  HERA1+2 NCep 920                                
Dataset    2     67.94    70  HERA1+2 NCep 820                                
Dataset    3    229.59   254  HERA1+2 NCep 575                                
Dataset    4    221.80   204  HERA1+2 NCep 460                                
Dataset    5    216.41   159  HERA1+2 NCem                                    
Dataset    6     44.82    39  HERA1+2 CCep                                    
Dataset    7     42.25    42  HERA1+2 CCem                                    

 Correlated Chi2    83.427871612961312     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
  125  sysHZComb1125                          0.9840   +/-   0.8866        :N:M:D
  126  sysHZComb1126                         -0.1279   +/-   0.9157        :N:M:D
  127  sysHZComb1127                         -0.2010   +/-   0.9234        :N:M:D
  128  sysHZComb1128                         -0.2500   +/-   0.9553        :N:M:D
  129  sysHZComb1129                          0.2470   +/-   0.8568        :N:M:D
  130  sysHZComb1130                          0.3480   +/-   0.8054        :N:M:D
  131  sysHZComb1131                         -0.6773   +/-   0.7901        :N:M:D
  132  sysHZComb1132                         -0.5690   +/-   0.7898        :N:M:D
  133  sysHZComb1133                          0.6012   +/-   0.8211        :N:M:D
  134  sysHZComb1134                          0.3219   +/-   0.9787        :N:M:D
  135  sysHZComb1135                         -1.1627   +/-   0.8178        :N:M:D
  136  sysHZComb1136                          0.3016   +/-   0.8771        :N:M:D
  137  sysHZComb1137                         -0.2792   +/-   0.8840        :N:M:D
  138  sysHZComb1138                          0.4445   +/-   0.9203        :N:M:D
  139  sysHZComb1139                         -0.8030   +/-   0.9427        :N:M:D
  140  sysHZComb1140                         -0.1609   +/-   0.9578        :N:M:D
  141  sysHZComb1141                         -0.1864   +/-   0.9711        :N:M:D
  142  sysHZComb1142                          1.1120   +/-   0.8615        :N:M:D
  143  sysHZComb1143                          0.4843   +/-   0.8557        :N:M:D
  144  sysHZComb1144                          1.6992   +/-   0.8406        :N:M:D
  145  sysHZComb1145                          0.3771   +/-   0.9861        :N:M:D
  146  sysHZComb1146                          0.2616   +/-   0.9897        :N:M:D
  147  sysHZComb1147                          0.8597   +/-   0.8030        :N:M:D
  148  sysHZComb1148                         -0.5122   +/-   0.7926        :N:M:D
  149  sysHZComb1149                          0.6299   +/-   0.7692        :N:M:D
  150  sysHZComb1150                         -0.5389   +/-   0.7868        :N:M:D
  151  sysHZComb1151                          0.1750   +/-   0.9635        :N:M:D
  152  sysHZComb1152                          0.9440   +/-   0.7338        :N:M:D
  153  sysHZComb1153                         -1.4417   +/-   0.8341        :N:M:D
  154  sysHZComb1154                         -0.1084   +/-   0.8102        :N:M:D
  155  sysHZComb1155                          1.0765   +/-   0.8139        :N:M:D
  156  sysHZComb1156                         -0.0220   +/-   0.9153        :N:M:D
  157  sysHZComb1157                          1.3562   +/-   0.7260        :N:M:D
  158  sysHZComb1158                          0.1908   +/-   0.7991        :N:M:D
  159  sysHZComb1159                         -0.0322   +/-   1.0000        :N:M:D
  160  sysHZComb1160                         -0.0160   +/-   0.8820        :N:M:D
  161  sysHZComb1161                          0.8036   +/-   0.8416        :N:M:D
  162  sysHZComb1162                          0.7763   +/-   0.8883        :N:M:D
  163  proc_nrl                               0.1170   +/-   0.3882        :N:M:D
  164  proc_tb21                             -2.6509   +/-   0.6696        :N:M:D
  165  proc_tb22                             -1.5200   +/-   0.3051        :N:M:D
  166  proc_tb23                             -0.6209   +/-   0.4360        :N:M:D
  167  proc_tb24                             -0.5864   +/-   0.4091        :N:M:D
  168  proc_gp                                0.0643   +/-   0.4524        :N:M:D
  169  proc_had                               0.6074   +/-   0.5368        :N:M:D
